PACKET_ID,PACKET_TYPE_Control_Packet,CONTROL_PACKET_TYPE_DIO,CONTROL_PACKET_TYPE_App1_CBR,CONTROL_PACKET_TYPE_DAO,SOURCE_ID,RECEIVER_ID,NW_LAYER_ARRIVAL_TIME(US),MAC_LAYER_ARRIVAL_TIME(US),PHY_LAYER_OVERHEAD(Bytes),PACKET_STATUS_Successful,PACKET_STATUS_Collided,Class Type
0,1,0,0,0,1,2,6430000,6430000,6,0,1,1
522,0,0,1,0,1,5,51210704,51210704,0,1,0,0
379,0,0,1,0,1,4,64169582,64169582,0,1,0,2
0,1,0,0,0,10,14,58920000,58920000,6,0,1,1
0,1,1,0,0,11,3,9123189,9123189,6,1,0,1
251,0,0,1,0,2,6,48666500,48666500,6,1,0,0
0,1,1,0,0,9,5,69729522,69729522,6,0,1,1
223,0,0,1,0,1,4,21945957,21945957,0,1,0,0
423,0,0,1,0,2,8,82154475,82154475,0,1,0,0
0,1,1,0,0,3,13,10666438,10666438,6,0,1,1
0,1,0,0,0,2,4,49421351,49421351,0,1,0,2
0,1,0,0,0,6,3,5126000,5126000,6,1,0,2
370,0,0,1,0,1,3,7380000,7380000,6,1,0,2
55,0,0,1,0,2,6,2522880,2522880,6,1,0,1
0,1,0,0,0,10,3,2468000,2468000,6,1,0,2
0,1,1,0,0,5,14,16342232,16342232,6,0,1,1
206,0,0,1,0,1,3,4100000,4100000,6,1,0,0
0,1,0,0,0,1,2,11865000,11865000,6,1,0,1
0,1,1,0,0,6,10,22210226,22210226,6,1,0,1
0,1,0,0,0,1,3,12760000,12760000,6,0,1,1
0,1,0,0,0,10,5,31031867,31031867,0,1,0,2
436,0,0,1,0,1,5,42743944,42743944,0,1,0,0
0,1,1,0,0,15,13,22491951,22491951,6,0,1,1
0,1,1,0,0,3,13,73257853,73257853,6,1,0,1
181,0,0,1,0,1,4,17802060,17802060,0,1,0,0
170,0,0,1,0,1,5,29049435,29049435,0,1,0,2
0,1,1,0,0,13,9,12115243,12115243,6,0,1,1
356,0,0,1,0,1,3,7100000,7100000,6,1,0,0
63,0,0,1,0,1,4,6199550,6199550,0,1,0,0
0,1,1,0,0,15,9,13566781,13566781,6,0,1,1
367,0,0,1,0,1,3,7320000,7320000,6,1,0,0
251,0,0,1,0,1,3,5000000,5000000,6,1,0,0
0,1,0,0,0,10,15,9945000,9945000,6,0,1,1
229,0,0,1,0,2,7,44453906,44453906,0,1,0,0
0,1,0,0,0,10,9,44235000,44235000,6,0,1,1
342,0,0,1,0,1,3,6820000,6820000,6,1,0,0
510,0,0,1,0,2,6,99084994,99084994,6,1,0,0
217,0,0,1,0,1,5,21273615,21273615,0,1,0,0
0,1,1,0,0,15,10,69372088,69372088,6,1,0,1
0,1,1,0,0,5,15,73149597,73149597,6,0,1,1
0,1,1,0,0,15,9,10185856,10185856,6,0,1,1
467,0,0,1,0,2,7,90720404,90720404,0,1,0,0
0,1,1,0,0,13,4,71390264,71390264,6,0,1,1
184,0,0,1,0,1,4,18054962,18054962,0,1,0,0
0,1,1,0,0,5,3,24837548,24837548,6,1,0,1
0,1,1,0,0,13,1,93968057,93968057,6,0,1,1
0,1,1,0,0,9,10,93575512,93575512,6,1,0,1
0,1,1,0,0,9,3,17282222,17282222,6,0,1,1
0,1,1,0,0,5,4,9749654,9749654,6,0,1,1
0,1,1,0,0,13,15,69669349,69669349,6,1,0,1
0,1,1,0,0,11,5,71834958,71834958,6,0,1,1
280,0,0,1,0,1,4,27447201,27447201,0,1,0,0
217,0,0,1,0,1,3,4320000,4320000,6,1,0,0
0,1,1,0,0,15,14,73645439,73645439,6,0,1,1
0,1,0,0,0,10,9,14010000,14010000,6,0,1,1
281,0,0,1,0,2,6,54506480,54506480,6,1,0,0
0,1,1,0,0,12,15,9365078,9365078,6,1,0,1
0,1,0,0,0,10,4,31832679,31832679,0,1,0,2
0,1,1,0,0,3,2,18549002,18549002,6,0,1,1
49,0,0,1,0,1,5,4848192,4848192,0,1,0,0
0,1,1,0,0,13,11,26177370,26177370,6,1,0,1
281,0,0,1,0,1,4,27546545,27546545,0,1,0,0
172,0,0,1,0,1,3,3420000,3420000,6,1,0,0
367,0,0,1,0,1,4,35953132,35953132,0,1,0,0
298,0,0,1,0,1,4,29185453,29185453,0,1,0,0
289,0,0,1,0,1,4,28392432,28392432,0,1,0,0
0,1,0,0,0,2,4,28710695,28710695,0,1,0,2
370,0,0,1,0,1,3,7380000,7380000,6,1,0,0
332,0,0,1,0,1,5,32497702,32497702,0,1,0,0
251,0,0,1,0,2,8,48729884,48729884,0,1,0,0
270,0,0,1,0,2,6,52365154,52365154,6,1,0,0
0,1,1,0,0,12,15,14546928,14546928,6,0,0,1
0,1,1,0,0,5,2,24194694,24194694,6,0,1,1
0,1,0,0,0,1,13,6620000,6620000,6,0,1,1
403,0,0,1,0,1,3,8040000,8040000,6,1,0,0
0,1,0,0,0,2,3,5413000,5413000,6,1,0,2
0,1,1,0,0,13,14,73232790,73232790,6,0,1,1
0,1,0,0,0,10,4,60900535,60900535,0,1,0,2
34,0,0,1,0,1,4,3407578,3407578,0,1,0,0
0,1,0,0,0,10,3,4912000,4912000,6,0,1,2
0,1,1,0,0,13,14,16737978,16737978,6,1,0,1
537,0,0,1,0,1,3,10720000,10720000,6,1,0,0
0,1,1,0,0,3,5,70971537,70971537,6,1,0,1
0,1,0,0,0,1,4,38940000,38940000,6,1,0,1
17,0,0,1,0,1,5,1673519,1673519,0,1,0,0
0,1,0,0,0,10,3,3569000,3569000,6,1,0,2
319,0,0,1,0,1,3,6360000,6360000,6,1,0,0
0,1,0,0,0,6,4,22994014,22994014,0,1,0,2
198,0,0,1,0,1,3,3940000,3940000,6,1,0,0
0,1,1,0,0,3,1,22234457,22234457,6,1,0,1
0,1,0,0,0,1,2,6100000,6100000,6,0,1,1
433,0,0,1,0,1,5,42440121,42440121,0,1,0,0
0,1,1,0,0,5,9,9259354,9259354,6,0,1,1
0,1,0,0,0,6,3,3020000,3020000,6,1,0,2
0,1,1,0,0,13,9,68916244,68916244,6,0,1,1
277,0,0,1,0,1,3,5520000,5520000,6,1,0,0
0,1,0,0,0,6,4,64534152,64534152,0,1,0,2
0,1,1,0,0,11,13,16484251,16484251,6,1,0,1
0,1,0,0,0,1,5,7520000,7520000,6,1,0,1
503,0,0,1,0,1,4,49378150,49378150,0,1,0,0
0,1,0,0,0,10,4,39536716,39536716,0,1,0,2
0,1,0,0,0,1,3,39845000,39845000,6,1,0,1
116,0,0,1,0,1,4,11401946,11401946,0,1,0,0
0,1,1,0,0,3,12,14183000,14183000,6,1,0,1
0,1,1,0,0,3,13,10444136,10444136,6,1,0,1
0,1,1,0,0,12,3,68957920,68957920,6,1,0,1
340,0,0,1,0,1,4,33320949,33320949,0,1,0,0
0,1,0,0,0,1,2,52365000,52365000,6,1,0,1
230,0,0,1,0,1,5,35918713,35918713,0,1,0,2
114,0,0,1,0,1,5,11247186,11247186,0,1,0,0
350,0,0,1,0,1,5,34237042,34237042,0,1,0,0
0,1,0,0,0,10,3,3174000,3174000,6,0,1,2
235,0,0,1,0,1,4,39644028,39644028,0,1,0,2
0,1,0,0,0,1,11,10180000,10180000,6,1,0,1
0,1,0,0,0,6,5,59212037,59212037,0,1,0,2
172,0,0,1,0,1,5,29292509,29292509,0,1,0,2
345,0,0,1,0,1,4,33839746,33839746,0,1,0,0
494,0,0,1,0,2,8,96026773,96026773,0,1,0,0
0,1,1,0,0,5,12,14138543,14138543,6,1,0,1
0,1,1,0,0,5,15,10444136,10444136,6,0,1,1
409,0,0,1,0,1,3,8160000,8160000,6,1,0,0
145,0,0,1,0,1,5,14249274,14249274,0,1,0,0
0,1,0,0,0,6,5,28328456,28328456,0,1,0,2
0,1,0,0,0,1,2,39340000,39340000,6,0,1,1
462,0,0,1,0,1,4,45322651,45322651,0,1,0,0
0,1,0,0,0,10,5,21995765,21995765,0,1,0,2
562,0,0,1,0,1,5,55105892,55105892,0,1,0,0
0,1,1,0,0,2,11,3458112,3458112,6,0,1,1
0,1,1,0,0,4,12,22474282,22474282,6,1,0,1
0,1,1,0,0,5,14,72709326,72709326,6,1,0,1
0,1,1,0,0,15,13,9391229,9391229,6,1,0,1
0,1,0,0,0,10,4,33804062,33804062,0,1,0,2
0,1,0,0,0,10,4,51798390,51798390,0,1,0,2
