PACKET_ID,PACKET_TYPE_Control_Packet,CONTROL_PACKET_TYPE_DIO,CONTROL_PACKET_TYPE_App1_CBR,CONTROL_PACKET_TYPE_DAO,SOURCE_ID,RECEIVER_ID,NW_LAYER_ARRIVAL_TIME(US),MAC_LAYER_ARRIVAL_TIME(US),PHY_LAYER_OVERHEAD(Bytes),PACKET_STATUS_Successful,PACKET_STATUS_Collided,Class Type
421,0,0,1,0,2,7,81857814,81857814,0,1,0,0
421,0,0,1,0,2,8,81857826,81857826,0,1,0,0
422,0,0,1,0,2,6,81954386,81954386,6,1,0,0
422,0,0,1,0,2,7,81959154,81959154,0,1,0,0
422,0,0,1,0,2,8,81959169,81959169,0,1,0,0
422,0,0,1,0,2,6,81954386,81954386,6,1,0,0
422,0,0,1,0,2,7,81965203,81965203,0,1,0,0
422,0,0,1,0,2,8,81965218,81965218,0,1,0,0
422,0,0,1,0,2,6,81954386,81954386,6,1,0,0
422,0,0,1,0,2,7,81971892,81971892,0,1,0,0
422,0,0,1,0,2,8,81971907,81971907,0,1,0,0
422,0,0,1,0,2,6,81954386,81954386,6,1,0,0
422,0,0,1,0,2,7,81978901,81978901,0,1,0,0
422,0,0,1,0,2,8,81978916,81978916,0,1,0,0
422,0,0,1,0,2,6,81954386,81954386,6,1,0,0
422,0,0,1,0,2,7,81985910,81985910,0,1,0,0
422,0,0,1,0,2,8,81985925,81985925,0,1,0,0
0,1,0,0,1,12,13,81986682,81986682,6,0,1,0
422,0,0,1,0,2,6,81954386,81954386,6,1,0,0
422,0,0,1,0,2,7,81991639,81991639,0,1,0,0
422,0,0,1,0,2,8,81991654,81991654,0,1,0,0
0,1,0,0,1,3,9,81984220,81984220,6,0,1,0
0,1,0,0,1,15,6,81991427,81991427,6,1,0,0
0,1,0,0,1,9,6,81990188,81990188,6,1,0,0
0,1,0,0,1,14,6,81993904,81993904,6,1,0,0
0,1,0,0,1,3,9,81993149,81993149,6,1,0,0
